hour,A,AG,AL,AP,AU,BU,C,CF,CU,EG,FG,HC,I,J,JD,JM,M,MA,NI,P,PP,RB,RM,RU,SF,SM,SR,TA,Y,ZC,ZN
2013-01-04 09:45:00,4590.0,5955.0,15125.0,,327.99,,2351.0,20000.0,57760.0,,1382.0,,,1618.0,,,3820.0,,,6348.0,,3896.0,2366.0,25900.0,,,5622.0,8792.0,9090.0,,15360.0
2013-01-04 10:55:00,4590.0,5969.0,15125.0,,329.4,,2332.0,20000.0,57660.0,,1399.0,,,1618.0,,,3799.0,,,6278.0,,3850.0,2372.0,25865.0,,,5660.0,8798.0,9090.0,,15310.0
2013-01-04 13:55:00,4600.0,5975.0,15125.0,,329.4,,2333.0,20000.0,57700.0,,1422.0,,,1618.0,,,3780.0,,,6278.0,,3869.0,2365.0,25845.0,,,5665.0,8798.0,9090.0,,15300.0
2013-01-04 14:55:00,4600.0,5968.0,15125.0,,330.3,,2310.0,19970.0,57700.0,,1422.0,,,1618.0,,,3790.0,,,6278.0,,3869.0,2373.0,25800.0,,,5636.0,8798.0,9090.0,,15310.0
2013-01-07 09:45:00,4625.0,6142.0,15100.0,,331.62,,2310.0,20000.0,57670.0,,1420.0,,,1576.0,,,3780.0,,,6200.0,,3869.0,2457.0,25760.0,,,5690.0,8942.0,9090.0,,15245.0
2013-01-07 10:55:00,4625.0,6162.0,15100.0,,331.62,,2309.0,20000.0,57720.0,,1419.0,,,1680.0,,,3775.0,,,6204.0,,3850.0,2457.0,25750.0,,,5700.0,8942.0,8980.0,,15285.0
2013-01-07 13:55:00,4625.0,6136.0,15100.0,,333.6,,2315.0,20025.0,57600.0,,1416.0,,,1680.0,,,3745.0,,,6348.0,,3880.0,2445.0,25525.0,,,5700.0,8940.0,8980.0,,15255.0
2013-01-07 14:55:00,4625.0,6136.0,15075.0,,333.6,,2315.0,20000.0,57620.0,,1432.0,,,1680.0,,,3750.0,,,6250.0,,3880.0,2457.0,25500.0,,,5713.0,8940.0,8980.0,,15180.0
2013-01-08 09:45:00,4622.0,6120.0,15070.0,,331.0,,2309.0,20000.0,57720.0,,1410.0,,,1680.0,,,3750.0,,,6328.0,,3880.0,2459.0,25500.0,,,5713.0,8992.0,8980.0,,15170.0
2013-01-08 10:55:00,4622.0,6124.0,15070.0,,331.0,,2309.0,20100.0,57620.0,,1422.0,,,1680.0,,,3754.0,,,6328.0,,3845.0,2478.0,25400.0,,,5715.0,9000.0,8980.0,,15155.0
