hour,A,AG,AL,AP,AU,BU,C,CF,CU,EG,FG,HC,I,J,JD,JM,M,MA,NI,P,PP,RB,RM,RU,SF,SM,SR,TA,Y,ZC,ZN
2013-01-04 09:45:00,4711.0,6015.0,15225.0,,335.29,,2365.0,19670.0,58040.0,,1403.0,,,1651.0,,,3496.0,,,6400.0,,3823.0,2328.0,26120.0,,,5619.0,8674.0,8662.0,,15450.0
2013-01-04 10:55:00,4686.0,6020.0,15235.0,,335.29,,2364.0,19660.0,57940.0,,1413.0,,,1651.0,,,3495.0,,,6420.0,,3829.0,2339.0,26095.0,,,5619.0,8580.0,8662.0,,15425.0
2013-01-04 13:55:00,4712.0,6028.0,15235.0,,335.29,,2364.0,19700.0,57930.0,,1413.0,,,1651.0,,,3508.0,,,6450.0,,3818.0,2345.0,26055.0,,,5609.0,8632.0,8662.0,,15405.0
2013-01-04 14:55:00,4707.0,6027.0,15240.0,,335.29,,2363.0,19680.0,57990.0,,1422.0,,,1651.0,,,3508.0,,,6450.0,,3820.0,2340.0,25975.0,,,5605.0,8632.0,8662.0,,15415.0
2013-01-07 09:45:00,4784.0,6590.0,15410.0,,342.35,,2501.0,19295.0,58410.0,,1501.0,,,1914.0,,,3237.0,,,7314.0,,4065.0,2247.0,26660.0,,,5658.0,8610.0,8770.0,,15585.0
2013-01-07 10:55:00,4771.0,6620.0,15400.0,,343.0,,2500.0,19165.0,58500.0,,1501.0,,,1908.0,,,3218.0,,,7282.0,,4056.0,2246.0,26700.0,,,5679.0,8648.0,8750.0,,15595.0
2013-01-07 13:55:00,4759.0,6596.0,15390.0,,342.65,,2500.0,19165.0,58360.0,,1497.0,,,1894.0,,,3203.0,,,7252.0,,4050.0,2218.0,26435.0,,,5699.0,8612.0,8712.0,,15560.0
2013-01-07 14:55:00,4746.0,6593.0,15370.0,,342.3,,2498.0,19205.0,58220.0,,1510.0,,,1882.0,,,3194.0,,,7246.0,,4036.0,2233.0,26320.0,,,5673.0,8584.0,8712.0,,15460.0
2013-01-08 09:45:00,4740.0,6580.0,15370.0,,340.0,,2497.0,19245.0,58450.0,,1506.0,,,1878.0,,,3197.0,,,7166.0,,4029.0,2231.0,26355.0,,,5659.0,8604.0,8706.0,,15575.0
2013-01-08 10:55:00,4748.0,6569.0,15345.0,,340.0,,2497.0,19225.0,58350.0,,1513.0,,,1887.0,,,3196.0,,,7168.0,,4030.0,2225.0,26315.0,,,5670.0,8586.0,8672.0,,15545.0
