hour,A,AG,AL,AP,AU,BU,C,CF,CU,EG,FG,HC,I,J,JD,JM,M,MA,NI,P,PP,RB,RM,RU,SF,SM,SR,TA,Y,ZC,ZN
2013-01-04 09:45:00,4590.0,5955.0,15125.0,,327.99,,2351.0,20000.0,57760.0,,1382.0,,,1618.0,,,3820.0,,,6348.0,,3896.0,2366.0,25900.0,,,5622.0,8792.0,9090.0,,15360.0
2013-01-04 10:55:00,4590.0,5969.0,15125.0,,329.4,,2332.0,20000.0,57660.0,,1399.0,,,1618.0,,,3799.0,,,6278.0,,3850.0,2372.0,25865.0,,,5660.0,8798.0,9090.0,,15310.0
2013-01-04 13:55:00,4600.0,5975.0,15125.0,,329.4,,2333.0,20000.0,57700.0,,1422.0,,,1618.0,,,3780.0,,,6278.0,,3869.0,2365.0,25845.0,,,5665.0,8798.0,9090.0,,15300.0
2013-01-04 14:55:00,4600.0,5968.0,15125.0,,330.3,,2310.0,19970.0,57700.0,,1422.0,,,1618.0,,,3790.0,,,6278.0,,3869.0,2373.0,25800.0,,,5636.0,8798.0,9090.0,,15310.0
2013-01-07 09:45:00,4751.0,6402.0,15310.0,,338.74,,2446.0,19185.0,58340.0,,1449.0,,,1844.0,,,3272.0,,,7010.0,,4031.0,2457.0,26385.0,,,5628.0,8656.0,8746.0,,15475.0
2013-01-07 10:55:00,4745.0,6423.0,15305.0,,339.28,,2444.0,19200.0,58390.0,,1447.0,,,1841.0,,,3263.0,,,6978.0,,4015.0,2457.0,26410.0,,,5653.0,8710.0,8712.0,,15485.0
2013-01-07 13:55:00,4739.0,6394.0,15290.0,,338.89,,2445.0,19200.0,58270.0,,1443.0,,,1826.0,,,3254.0,,,6956.0,,4007.0,2445.0,26135.0,,,5680.0,8692.0,8698.0,,15460.0
2013-01-07 14:55:00,4731.0,6389.0,15270.0,,338.72,,2445.0,19220.0,58140.0,,1459.0,,,1809.0,,,3262.0,,,6966.0,,3998.0,2457.0,26040.0,,,5661.0,8678.0,8686.0,,15385.0
2013-01-08 09:45:00,4724.0,6375.0,15270.0,,336.38,,2444.0,19255.0,58320.0,,1436.0,,,1808.0,,,3269.0,,,6880.0,,3988.0,2459.0,26030.0,,,5674.0,8690.0,8672.0,,15480.0
2013-01-08 10:55:00,4730.0,6379.0,15255.0,,336.6,,2444.0,19235.0,58240.0,,1443.0,,,1820.0,,,3265.0,,,6882.0,,3992.0,2478.0,26010.0,,,5683.0,8674.0,8652.0,,15460.0
