hour,A,AG,AL,AP,AU,BU,C,CF,CU,EG,FG,HC,I,J,JD,JM,M,MA,NI,P,PP,RB,RM,RU,SF,SM,SR,TA,Y,ZC,ZN
2013-01-04 09:45:00,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
2013-01-04 10:55:00,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
2013-01-04 13:55:00,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
2013-01-04 14:55:00,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
2013-01-07 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,2.0
2013-01-07 10:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,2.0
2013-01-07 13:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,2.0
2013-01-07 14:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,2.0
2013-01-08 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-08 10:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-08 13:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-08 14:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-09 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-09 10:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-09 13:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-09 14:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-10 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-10 10:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-10 13:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-10 14:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-11 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-11 10:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-11 13:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-11 14:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-14 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-14 10:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-14 13:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-14 14:55:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
2013-01-15 09:45:00,4.0,5.0,2.0,,5.0,,4.0,4.0,3.0,,2.0,,,4.0,,,4.0,,,4.0,,4.0,0.0,4.0,,,4.0,4.0,4.0,,3.0
