hour,A,AG,AL,AP,AU,BU,C,CF,CU,EG,FG,HC,I,J,JD,JM,M,MA,NI,P,PP,RB,RM,RU,SF,SM,SR,TA,Y,ZC,ZN
2013-01-04 09:45:00,4610.0,6112.0,15210.0,,334.08,,2351.0,20000.0,57910.0,,1387.0,,,1618.0,,,3850.0,,,6348.0,,3896.0,2372.0,26245.0,,,5685.0,8792.0,9090.0,,15370.0
2013-01-04 10:55:00,4590.0,5969.0,15130.0,,329.4,,2351.0,20100.0,57770.0,,1400.0,,,1618.0,,,3829.0,,,6348.0,,3885.0,2380.0,25970.0,,,5660.0,8798.0,9090.0,,15360.0
2013-01-04 13:55:00,4600.0,5975.0,15135.0,,329.4,,2333.0,20000.0,57720.0,,1422.0,,,1618.0,,,3800.0,,,6278.0,,3870.0,2377.0,26015.0,,,5665.0,8798.0,9090.0,,15310.0
2013-01-04 14:55:00,4600.0,5989.0,15130.0,,330.3,,2310.0,20000.0,57770.0,,1422.0,,,1618.0,,,3800.0,,,6278.0,,3869.0,2378.0,25885.0,,,5665.0,8798.0,9090.0,,15315.0
2013-01-07 09:45:00,4652.3379776229685,6159.165489087769,15129.875898105813,,330.9841252731676,,2312.8331970564186,20085.010471204187,57638.84219554031,,1434.8056904927137,,,1629.4377379010336,,,3819.767441860465,,,6304.9596335528195,,3910.5501998002,2457.0,25848.58035207269,,,5661.115864527629,8928.849270664505,9129.63056447912,,15334.899870801033
2013-01-07 10:55:00,4644.52712687355,6176.447636991678,15124.937949052908,,331.22801960900125,,2310.0,20111.149214659687,57698.070325900524,,1431.8473282442749,,,1631.1973898858075,,,3808.1395348837214,,,6301.365015745778,,3895.08966033966,2457.0,25848.58035207269,,,5682.213190730838,8998.911785135448,9127.544745296009,,15354.699612403101
2013-01-07 13:55:00,4639.6453451551615,6169.726801695714,15120.0,,331.01339259346764,,2310.0,20079.78272251309,57668.45626072041,,1435.7918112421924,,,1619.7596519847746,,,3798.837209302326,,,6278.0,,3882.527972027972,2457.0,25824.171872042403,,,5708.333689839572,8984.487149803195,9094.171638366224,,15334.899870801033
2013-01-07 14:55:00,4629.881781718387,6145.72381849584,15105.18615284128,,331.0036368200344,,2310.944399018806,20105.921465968582,57530.25728987992,,1446.6391394864677,,,1607.442088091354,,,3806.9767441860467,,,6270.810764385916,,3882.527972027972,2457.0,25521.506719666857,,,5708.333689839572,8968.00185228062,9085.828361633778,,15305.200258397932
2013-01-08 09:45:00,4639.6453451551615,6163.005966399748,15105.18615284128,,329.06223790679815,,2312.8331970564186,20173.88219895288,57678.32761578045,,1436.7779319916724,,,1603.0429581294181,,,3825.5813953488373,,,6279.79730890352,,3877.6965534465526,2492.0,25550.7968957032,,,5741.486631016042,8980.36582542255,9100.42909591556,,15295.147099274816
2013-01-08 10:55:00,4619.141861937936,6126.52143193594,15080.496407576748,,328.41835686019726,,2310.0,20152.97120418848,57628.97084048027,,1423.9583622484383,,,1603.922784121805,,,3806.9767441860467,,,6186.337245920413,,3857.4045954045946,2492.0,25462.92636759417,,,5710.342959001782,8972.123176661264,9052.455254703991,,15250.827613153291
2013-01-08 13:55:00,4628.90542537471,6146.683937823836,15090.372305682558,,328.8183435709645,,2319.4439901880623,20152.97120418848,57727.68439108063,,1436.7779319916724,,,1622.3991299619358,,,3822.0930232558144,,,6202.513026052105,,3884.460539460539,2500.0,25736.30134393337,,,5729.431016042779,8992.729798564482,9069.141808168884,,15280.37393723431
2013-01-08 14:55:00,4634.763563436774,6128.4416705919275,15085.434356629654,,328.5061588210975,,2320.3883892068684,20121.604712041884,57619.099485420236,,1449.5975017349062,,,1619.7596519847746,,,3839.5348837209294,,,6193.526481534497,,3884.460539460539,2493.0,25624.022335794056,,,5736.463458110517,8963.880527899977,9067.055988985774,,15250.827613153291
2013-01-09 09:45:00,4641.598057842516,6180.288114303658,15070.620509470935,,330.72071939046725,,2327.943581357318,20252.298429319373,57609.228130360214,,1447.6252602359473,,,1616.2403480152254,,,3851.1627906976746,,,6164.7695390781555,,3878.6628371628367,2514.0,25697.247775884924,,,5718.3800356506235,8939.152581616114,9031.597062872876,,15236.054451112775
2013-01-09 10:55:00,4639.6453451551615,6163.966085727744,15070.620509470935,,330.35,,2319.4439901880623,20226.15968586388,57559.87135506004,,1442.6946564885495,,,1609.2017400761285,,,3859.302325581396,,,6155.782994560551,,3858.3708791208787,2513.0,25545.915199697134,,,5696.27807486631,8887.636026858068,9004.481413492429,,15226.205676419104
2013-01-09 13:55:00,4638.668988811483,6166.846443711728,15075.558458523841,,330.72071939046725,,2319.4439901880623,20205.24869109948,57579.614065180096,,1444.666897987509,,,1604.8026101141925,,,3866.279069767441,,,6153.985685657029,,3869.0,2511.0,25604.49555176983,,,5695.273440285205,8871.150729335493,9000.309775126205,,15226.205676419104
