hour,A,AG,AL,AP,AU,BU,C,CF,CU,EG,FG,HC,I,J,JD,JM,M,MA,NI,P,PP,RB,RM,RU,SF,SM,SR,TA,Y,ZC,ZN
2013-01-04 09:45:00,4590.0,5922.0,15125.0,,327.0,,2320.0,19900.0,57760.0,,1332.0,,,1559.0,,,3750.0,,,6288.0,,3860.0,2316.0,25825.0,,,5620.0,8350.0,8560.0,,15300.0
2013-01-04 10:55:00,4590.0,5955.0,15120.0,,327.99,,2330.0,20000.0,57600.0,,1384.0,,,1618.0,,,3770.0,,,5988.0,,3850.0,2363.0,25810.0,,,5622.0,8788.0,9090.0,,15275.0
2013-01-04 13:55:00,4590.0,5965.0,15120.0,,329.4,,2332.0,20000.0,57630.0,,1399.0,,,1618.0,,,3780.0,,,6276.0,,3834.0,2347.0,25800.0,,,5660.0,8798.0,9090.0,,15285.0
2013-01-04 14:55:00,4600.0,5967.0,15125.0,,329.4,,2310.0,19970.0,57690.0,,1414.0,,,1618.0,,,3780.0,,,6200.0,,3869.0,2365.0,25750.0,,,5635.0,8774.0,9090.0,,15285.0
2013-01-07 09:45:00,4606.449229470129,6069.874391584236,15100.248203788376,,329.7451420471325,,2306.2224039247753,19870.67277486911,57411.80102915952,,1413.1110340041635,,,1612.721044045677,,,3732.558139534884,,,6252.837675350701,,3862.236013986014,2361.0,25697.247775884924,,,5627.962923351159,8836.119472100023,9054.541073887105,,15290.350452196382
2013-01-07 10:55:00,4632.81085074942,6135.162505887894,15110.124101894187,,330.2817095859666,,2307.166802943581,20037.96073298429,57510.514579759874,,1418.0416377515617,,,1613.6008700380642,,,3786.046511627907,,,6261.824219868308,,3871.8988511488506,2455.0,25653.3125118304,,,5650.064884135472,8895.878675619355,9081.656723267557,,15305.200258397932
2013-01-07 13:55:00,4621.09457462529,6135.162505887894,15085.434356629654,,330.1939076250665,,2307.166802943581,20043.18848167539,57451.28644939966,,1418.0416377515617,,,1602.163132137031,,,3774.4186046511627,,,6236.661895219009,,3859.3371628371633,2431.0,25443.399583569946,,,5675.1807486631005,8930.909932854827,9052.455254703991,,15295.300387596899
2013-01-07 14:55:00,4617.18914925058,6126.52143193594,15080.496407576748,,330.3695115468667,,2307.166802943581,20048.416230366493,57293.34476843912,,1421.9861207494794,,,1591.605220228385,,,3774.4186046511627,,,6242.053821929573,,3861.2697302697297,2429.0,25360.410751466967,,,5679.199286987522,8935.03125723547,9050.36943552088,,15216.10142118863
2013-01-08 09:45:00,4594.732953346,6115.0,15080.496407576748,,327.98910282913005,,2308.1112019623874,20105.921465968582,57520.385934819904,,1413.1110340041635,,,1589.8455682436106,,,3790.697674418605,,,6170.16146578872,,3846.775474525474,2440.0,25350.647359454855,,,5696.27807486631,8922.667284093539,9029.511243689769,,15236.054451112775
2013-01-08 10:55:00,4606.449229470129,6110.199403360024,15050.86871325931,,328.1256836571969,,2308.1112019623874,20069.327225130888,57352.57289879931,,1407.1943095072863,,,1579.2876563349646,,,3793.0232558139533,,,6155.782994560551,,3835.1800699300697,2448.0,25209.0781752792,,,5689.245632798576,8900.0,9004.481413492429,,15196.659352338083
2013-01-08 13:55:00,4617.18914925058,6121.720835295966,15060.744611365122,,328.1159278837635,,2307.166802943581,20105.921465968582,57480.90051457976,,1417.0555170020816,,,1598.6438281674825,,,3795.348837209303,,,6168.364156885199,,3853.539460539461,2475.0,25379.9375354912,,,5700.296613190732,8932.970595045148,9019.082147774208,,15221.281289072269
2013-01-08 14:55:00,4621.09457462529,6104.438687392056,15050.86871325931,,328.0281259228634,,2314.721995094031,20085.010471204187,57500.64322469982,,1433.8195697432336,,,1605.6824361065796,,,3806.9767441860467,,,6136.012596621815,,3869.966283716284,2470.0,25521.506719666857,,,5718.3800356506235,8918.545959712896,9039.940339605324,,15162.188640910226
